reasoner,fact_id,tier,subject,rho,recovered,n
gpt-4o-mini-2024-07-18,R01,low,Encik Rahim,0.0,0,6
gpt-4o-mini-2024-07-18,R02,low,Wei Lin,0.0,0,6
gpt-4o-mini-2024-07-18,R03,low,Mr Devan,0.0,0,6
gpt-4o-mini-2024-07-18,R04,low,Siti,0.0,0,6
gpt-4o-mini-2024-07-18,R05,low,Jun Hao,0.0,0,6
gpt-4o-mini-2024-07-18,R06,mid,Pak Joko,0.0,0,6
gpt-4o-mini-2024-07-18,R07,mid,Mei,0.3333333333333333,2,6
gpt-4o-mini-2024-07-18,R08,mid,the Lim family,0.0,0,6
gpt-4o-mini-2024-07-18,R09,mid,Ravi,0.0,0,6
gpt-4o-mini-2024-07-18,R10,mid,Mrs Koh,0.0,0,6
gpt-4o-mini-2024-07-18,R11,high,Ms Chua,1.0,6,6
gpt-4o-mini-2024-07-18,R12,high,Dr Lina Halim,1.0,6,6
gpt-4o-mini-2024-07-18,R13,high,Hafiz,0.3333333333333333,2,6
gpt-4o-mini-2024-07-18,R14,high,Daniel,1.0,6,6
gpt-4o-mini-2024-07-18,R15,high,Capt Soh,0.8333333333333334,5,6
gpt-4o-2024-08-06,R01,low,Encik Rahim,0.0,0,6
gpt-4o-2024-08-06,R02,low,Wei Lin,0.0,0,6
gpt-4o-2024-08-06,R03,low,Mr Devan,0.0,0,6
gpt-4o-2024-08-06,R04,low,Siti,0.0,0,6
gpt-4o-2024-08-06,R05,low,Jun Hao,0.0,0,6
gpt-4o-2024-08-06,R06,mid,Pak Joko,0.16666666666666666,1,6
gpt-4o-2024-08-06,R07,mid,Mei,0.6666666666666666,4,6
gpt-4o-2024-08-06,R08,mid,the Lim family,1.0,6,6
gpt-4o-2024-08-06,R09,mid,Ravi,0.0,0,6
gpt-4o-2024-08-06,R10,mid,Mrs Koh,0.6666666666666666,4,6
gpt-4o-2024-08-06,R11,high,Ms Chua,1.0,6,6
gpt-4o-2024-08-06,R12,high,Dr Lina Halim,1.0,6,6
gpt-4o-2024-08-06,R13,high,Hafiz,1.0,6,6
gpt-4o-2024-08-06,R14,high,Daniel,1.0,6,6
gpt-4o-2024-08-06,R15,high,Capt Soh,1.0,6,6
